electorate,candidate,party,votes,source_url,1st_pref_votes
Narracan supplementary election,"ABELMAN, Michael",Liberal Democrats,3.56%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,1325
Narracan supplementary election,"WOLFE, Tony",,11.05%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,4110
Narracan supplementary election,"WEAVER, Alyssa",Australian Greens,11.11%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,4132
Narracan supplementary election,"CRAM, Austin",Animal Justice Party,2.28%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,849
Narracan supplementary election,"DE WIT, Sophia Camille",Labour DLP,7.10%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,2641
Narracan supplementary election,"MURPHY, Casey",Pauline Hanson's One Nation,6.04%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,2246
Narracan supplementary election,"HONEY, Ian",,1.02%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,381
Narracan supplementary election,"CLARKE, Brendan",Family First Victoria,2.93%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,1089
Narracan supplementary election,"BLACKWELL, Leonie",Freedom Party of Victoria,6.06%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,2254
Narracan supplementary election,"FARNHAM, Wayne",Liberal,45.00%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,16741
Narracan supplementary election,"McCABE, Annemarie",,3.86%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,1437
Albert Park results,"DRAGWIDGE, Georgie",,5.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,2294
Albert Park results,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,36.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,14254
Albert Park results,"SAMIOTIS, Kim",Australian Greens,20.91%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,8178
Albert Park results,"ANTUNOVIC, Elizabeth",Freedom Party of Victoria,1.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,518
Albert Park results,"BRADEA, Viorel",Family First Victoria,1.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,466
Albert Park results,"SHERSON, Lauren",Liberal,29.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,11659
Albert Park results,"SMART, Lance",Liberal Democrats,1.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,534
