electorate,current_mp,source_url,election_page
State districts,,https://www.vec.vic.gov.au/electoral-boundaries/state-districts,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Narracan supplementary election,,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Albert Park results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Ashwood results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bass results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bayswater results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bellarine results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Benambra results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bendigo East results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bendigo West results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bentleigh results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Berwick results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Box Hill results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Brighton results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Broadmeadows results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Brunswick results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bulleen results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Bundoora results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Carrum results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Caulfield results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Clarinda results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Cranbourne results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Croydon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Dandenong results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Eildon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Eltham results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Essendon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Eureka results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Euroa results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Evelyn results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Footscray results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Frankston results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Geelong results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Gippsland East results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Gippsland South results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Glen Waverley results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Greenvale results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Hastings results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Hawthorn results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Ivanhoe results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Kalkallo results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Kew results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Kororoit results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Lara results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Laverton results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Lowan results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Macedon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Malvern results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Melbourne results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Melton results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Mildura results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
